EQUIP_ID,EQUIP_NAME,TYPE,DEGREE
TMP00043013,刀闸0022,1708,2
TMP00020793,馈线段XX,1702,2
TMP00018353,馈线段XX,1702,2
TMP00039655,刀闸0004,1708,2
TMP00005047,开关00006,1705,7
TMP00007657,开关00015,1705,6
TMP00019630,馈线段XX,1702,2
TMP00013972,开关00089,1705,7
TMP00004919,开关00075,1705,5
TMP00236664,开关00104,1720,0
TMP00039344,母线XX,1710,2
TMP00019175,馈线段XX,1702,1
TMP00044815,馈线段XX,1702,5
TMP00247915,开关00167,1720,0
TMP00014904,开关00023,1705,8
TMP00033793,配变0074,1703,2
TMP00035678,配变1959,1703,1
TMP00240298,开关00388,1720,0
TMP00318777,开关00215,1720,0
TMP00023967,馈线段XX,1702,2
TMP00318533,开关00035,1720,0
TMP00017538,馈线段XX,1702,2
TMP00034183,配变0464,1703,1
TMP00030640,馈线段XX,1702,2
TMP00028427,馈线段XX,1702,2
TMP00032979,用户0766,1719,1
TMP00034099,配变0380,1703,1
TMP00015941,馈线段XX,1702,4
TMP00039747,刀闸0002,1708,2
TMP00022833,馈线段XX,1702,2
TMP00015851,开关00181,1705,0
TMP00181976,开关00138,1720,0
TMP00039515,母线XX,1710,7
TMP00016911,馈线段XX,1702,2
TMP00038395,母线XX,1710,7
TMP00020264,馈线段XX,1702,3
TMP00023294,馈线段XX,1702,2
TMP00237145,开关00148,1720,0
TMP00037969,母线XX,1710,2
TMP00257423,开关00283,1720,0
TMP00025294,馈线段XX,1702,2
TMP00040645,刀闸0012,1708,2
TMP00014901,开关00031,1705,8
TMP00012339,开关00194,1705,4
TMP00006060,开关00031,1705,8
TMP00006627,开关00012,1705,5
TMP00028222,馈线段XX,1702,2
TMP00039135,母线XX,1710,7
TMP00040270,刀闸0004,1708,2
TMP00022884,馈线段XX,1702,4
TMP00034288,配变0569,1703,1
TMP00021696,馈线段XX,1702,2
TMP00040709,刀闸0023,1708,2
TMP00024486,馈线段XX,1702,1
TMP00029098,馈线段XX,1702,2
TMP00032205,馈线段XX,1702,4
TMP00044161,开关00197,1706,3
TMP00038454,母线XX,1710,5
TMP00018480,馈线段XX,1702,3
TMP00004448,开关00003,1705,6
TMP00031905,馈线段XX,1702,2
TMP00033972,配变0253,1703,1
TMP00012498,开关00142,1705,4
TMP00005052,开关00011,1705,6
TMP00149647,开关00088,1720,0
TMP00024506,馈线段XX,1702,3
TMP00012626,开关00033,1705,8
TMP00029298,馈线段XX,1702,2
TMP00043453,刀闸0043,1708,2
TMP00019365,馈线段XX,1702,2
TMP00006585,开关00006,1705,7
TMP00022734,馈线段XX,1702,2
TMP00044235,开关00262,1706,4
TMP00012648,开关00120,1705,2
TMP00318698,开关00193,1720,0
TMP00031278,馈线段XX,1702,2
TMP00036295,母线XX,1710,4
TMP00040022,刀闸0011,1708,3
TMP00026644,馈线段XX,1702,2
TMP00232444,开关00250,1720,0
TMP00035244,配变1525,1703,1
TMP00318814,开关00598,1720,0
TMP00023663,馈线段XX,1702,2
TMP00017624,馈线段XX,1702,3
TMP00006455,开关00021,1705,3
TMP00011029,开关00016,1705,8
TMP00240783,开关00494,1720,0
TMP00016664,馈线段XX,1702,2
TMP00041166,刀闸0011,1708,2
TMP00014757,开关00190,1705,5
TMP00027003,馈线段XX,1702,2
TMP00041561,刀闸0028,1708,1
TMP00216326,开关00070,1720,0
TMP00023299,馈线段XX,1702,3
TMP00025251,馈线段XX,1702,2
TMP00038768,母线XX,1710,0
TMP00238461,开关00232,1720,0
TMP00036119,母线XX,1710,2
TMP00042718,刀闸0027,1708,1
TMP00184188,开关00420,1720,0
TMP00006440,开关00006,1705,5
TMP00011954,开关00105,1705,8
TMP00238441,开关00226,1720,0
TMP00012941,开关00156,1705,7
TMP00021134,馈线段XX,1702,2
TMP00021028,馈线段XX,1702,2
TMP00295750,开关00478,1720,0
TMP00025577,馈线段XX,1702,2
TMP00042328,刀闸0027,1708,3
TMP00020543,馈线段XX,1702,3
TMP00009778,开关00029,1705,8
TMP00035672,配变1953,1703,1
TMP00042173,刀闸0031,1708,3
TMP00030235,馈线段XX,1702,3
TMP00014443,开关00060,1705,6
TMP00018476,馈线段XX,1702,2
TMP00042885,刀闸0022,1708,3
TMP00177495,开关00326,1720,0
TMP00319218,开关00381,1720,0
TMP00028112,馈线段XX,1702,2
TMP00008698,开关00022,1705,6
TMP00021145,馈线段XX,1702,3
TMP00029665,馈线段XX,1702,2
TMP00318986,开关00082,1720,0
TMP00005742,开关00032,1705,9
TMP00012113,开关00160,1705,8
TMP00031403,馈线段XX,1702,4
TMP00318469,开关00071,1720,0
TMP00015951,馈线段XX,1702,2
TMP00037034,母线XX,1710,6
TMP00022013,馈线段XX,1702,3
TMP00283681,开关00160,1720,0
TMP00037051,母线XX,1710,2
TMP00036750,母线XX,1710,6
TMP00029863,馈线段XX,1702,2
TMP00021594,馈线段XX,1702,2
TMP00019889,馈线段XX,1702,2
TMP00143109,开关00052,1720,0
TMP00032642,用户0429,1719,1
TMP00006025,开关00009,1705,7
TMP00037593,母线XX,1710,0
TMP00181178,开关00131,1720,0
TMP00139651,开关00432,1720,0
TMP00040261,刀闸0008,1708,1
TMP00145955,开关00067,1720,0
TMP00032968,用户0755,1719,1
TMP00030734,馈线段XX,1702,2
TMP00044352,刀闸0116,1707,2
TMP00137987,开关00278,1720,0
TMP00039675,刀闸0003,1708,0
TMP00013099,开关00013,1705,2
TMP00008779,开关00050,1705,7
TMP00023328,馈线段XX,1702,2
TMP00031412,馈线段XX,1702,3
TMP00013030,开关00060,1705,4
TMP00029679,馈线段XX,1702,2
TMP00010952,开关00065,1705,8
TMP00041570,刀闸0006,1708,2
TMP00028259,馈线段XX,1702,3
TMP00045831,馈线段XX,1702,2
TMP00040103,刀闸0008,1708,2
TMP00012892,开关00018,1705,2
TMP00019662,馈线段XX,1702,2
TMP00043850,杆塔XX,1714,0
TMP00012581,开关00050,1705,6
TMP00004686,开关00077,1705,6
TMP00014762,开关00195,1705,6
TMP00290763,开关00015,1720,0
TMP00019402,馈线段XX,1702,4
TMP00017265,馈线段XX,1702,2
TMP00011928,开关00041,1705,7
TMP00235839,开关00090,1720,0
TMP00156635,开关00147,1720,0
TMP00025017,馈线段XX,1702,4
TMP00024657,馈线段XX,1702,4
TMP00017790,馈线段XX,1702,2
TMP00025469,馈线段XX,1702,3
TMP00033267,用户1054,1719,1
TMP00015167,开关00285,1705,21
TMP00032878,用户0665,1719,1
TMP00240549,开关00445,1720,0
TMP00006002,开关00017,1705,4
TMP00029891,馈线段XX,1702,4
TMP00263429,开关00054,1720,0
TMP00029940,馈线段XX,1702,2
TMP00039128,母线XX,1710,2
TMP00036305,母线XX,1710,4
TMP00026832,馈线段XX,1702,2
TMP00005427,开关00062,1705,6
TMP00007094,开关00007,1705,8
TMP00017141,馈线段XX,1702,2
TMP00044384,刀闸0007,1707,4
TMP00033289,用户1076,1719,2
TMP00038208,母线XX,1710,2
TMP00012046,开关00220,1705,8
TMP00005173,开关00028,1705,6
TMP00225719,开关00287,1720,0
TMP00299028,开关00328,1720,0
TMP00035639,配变1920,1703,1
TMP00009358,开关00182,1705,8
TMP00032899,用户0686,1719,1
TMP00026410,馈线段XX,1702,3
TMP00042803,刀闸0009,1708,9
TMP00004564,开关00002,1705,10
TMP00025463,馈线段XX,1702,2
TMP00013988,开关00155,1705,6
TMP00019145,馈线段XX,1702,2
TMP00009569,开关00035,1705,2
TMP00038605,母线XX,1710,2
TMP00038681,母线XX,1710,2
TMP00021676,馈线段XX,1702,2
TMP00021807,馈线段XX,1702,2
TMP00017446,馈线段XX,1702,2
TMP00019041,馈线段XX,1702,3
TMP00022527,馈线段XX,1702,3
TMP00009244,开关00017,1705,6
TMP00019356,馈线段XX,1702,3
TMP00026563,馈线段XX,1702,2
TMP00007483,开关00017,1705,8
TMP00010977,开关00206,1705,8
TMP00035775,配变2056,1703,1
TMP00038451,母线XX,1710,10
TMP00024784,馈线段XX,1702,3
TMP00027848,馈线段XX,1702,2
TMP00021400,馈线段XX,1702,2
TMP00045354,馈线段XX,1702,4
TMP00043677,馈线段XX,1702,1
TMP00021711,馈线段XX,1702,3
TMP00026616,馈线段XX,1702,2
TMP00030381,馈线段XX,1702,4
TMP00003916,开关00024,1705,6
TMP00006497,开关00011,1705,2
TMP00034194,配变0475,1703,1
TMP00318931,开关00575,1720,0
TMP00010819,开关00055,1705,7
TMP00011085,开关00009,1705,7
TMP00010252,开关00144,1705,5
TMP00022868,馈线段XX,1702,2
TMP00007839,开关00089,1705,9
TMP00030155,馈线段XX,1702,2
TMP00036497,母线XX,1710,2
TMP00008302,开关00027,1705,5
TMP00039494,母线XX,1710,2
TMP00022845,馈线段XX,1702,2
TMP00146278,开关00322,1720,0
TMP00036739,母线XX,1710,5
TMP00040807,刀闸0011,1708,2
TMP00043738,馈线段XX,1702,3
TMP00017714,馈线段XX,1702,2
TMP00038359,母线XX,1710,2
TMP00010078,开关00031,1705,7
TMP00023106,馈线段XX,1702,2
TMP00269471,开关00036,1720,0
TMP00045689,馈线段XX,1702,2
TMP00037248,母线XX,1710,6
TMP00012276,开关00006,1705,8
TMP00025346,馈线段XX,1702,3
TMP00273167,开关00246,1720,0
TMP00035892,母线XX,1710,5
TMP00034619,配变0900,1703,1
TMP00022915,馈线段XX,1702,2
TMP00008632,开关00143,1705,7
TMP00020885,馈线段XX,1702,3
TMP00035764,配变2045,1703,1
TMP00032737,用户0524,1719,1
TMP00034285,配变0566,1703,1
TMP00026500,馈线段XX,1702,3
TMP00012856,开关00152,1705,6
TMP00268344,开关00437,1720,0
TMP00035147,配变1428,1703,1
TMP00141051,开关00296,1720,0
TMP00280035,开关00125,1720,0
TMP00156460,开关00131,1720,0
TMP00019816,馈线段XX,1702,2
TMP00045791,馈线段XX,1702,2
TMP00044034,开关00115,1706,6
TMP00009897,开关00023,1705,8
TMP00027991,馈线段XX,1702,2
TMP00014796,开关00209,1705,11
TMP00008389,开关00018,1705,8
TMP00008689,开关00059,1705,6
TMP00039696,刀闸0001,1708,0
TMP00016086,馈线段XX,1702,2
TMP00023787,馈线段XX,1702,2
TMP00008835,开关00158,1705,6
TMP00013142,开关00137,1705,8
TMP00146199,开关00302,1720,0
TMP00010170,开关00076,1705,6
TMP00024963,馈线段XX,1702,1
TMP00275210,开关00023,1720,0
TMP00034135,配变0416,1703,1
TMP00004827,开关00017,1705,11
TMP00027657,馈线段XX,1702,2
TMP00041850,刀闸0005,1708,3
TMP00021783,馈线段XX,1702,3
TMP00318590,开关00179,1720,0
TMP00044898,馈线段XX,1702,4
TMP00032434,用户0221,1719,1
TMP00035823,母线XX,1710,0
TMP00017698,馈线段XX,1702,2
TMP00043105,刀闸0037,1708,2
TMP00034870,配变1151,1703,1
TMP00028835,馈线段XX,1702,2
TMP00044255,刀闸0019,1707,3
TMP00021235,馈线段XX,1702,3
TMP00037423,母线XX,1710,2
TMP00041179,刀闸0002,1708,8
TMP00020478,馈线段XX,1702,3
TMP00255309,开关00091,1720,0
TMP00020498,馈线段XX,1702,2
TMP00181722,开关00340,1720,0
TMP00044310,刀闸0074,1707,3
TMP00020312,馈线段XX,1702,3
TMP00014244,开关00002,1705,8
TMP00007863,开关00113,1705,6
TMP00006568,开关00140,1705,6
TMP00011213,开关00121,1705,6
TMP00261804,开关00059,1720,0
TMP00036517,母线XX,1710,2
TMP00318919,开关00338,1720,0
TMP00176574,开关00221,1720,0
TMP00032984,用户0771,1719,1
TMP00037381,母线XX,1710,2
TMP00006611,开关00001,1705,2
TMP00040678,刀闸0004,1708,2
TMP00039006,母线XX,1710,7
TMP00275355,开关00027,1720,0
TMP00027674,馈线段XX,1702,2
TMP00029243,馈线段XX,1702,2
TMP00028550,馈线段XX,1702,2
TMP00035583,配变1864,1703,1
TMP00022839,馈线段XX,1702,2
TMP00295012,开关00015,1720,0
TMP00008413,开关00071,1705,7
TMP00010638,开关00045,1705,8
TMP00045738,馈线段XX,1702,2
TMP00015527,开关00220,1705,5
TMP00276682,开关00015,1720,0
TMP00009309,开关00007,1705,5
TMP00018499,馈线段XX,1702,2
TMP00009886,开关00012,1705,8
TMP00281671,开关00169,1720,0
TMP00007084,开关00013,1705,3
TMP00036724,母线XX,1710,7
TMP00318811,开关00067,1720,0
TMP00253313,开关00129,1720,0
TMP00042141,刀闸0028,1708,2
TMP00027067,馈线段XX,1702,2
TMP00027456,馈线段XX,1702,2
TMP00021645,馈线段XX,1702,4
TMP00151931,开关00218,1720,0
TMP00011031,开关00018,1705,8
TMP00017084,馈线段XX,1702,3
TMP00008281,开关00006,1705,8
TMP00016286,馈线段XX,1702,2
TMP00025797,馈线段XX,1702,2
TMP00035519,配变1800,1703,1
TMP00044063,开关00048,1706,7
TMP00199474,开关00080,1720,0
TMP00038267,母线XX,1710,2
TMP00024251,馈线段XX,1702,3
TMP00031170,馈线段XX,1702,2
TMP00029869,馈线段XX,1702,3
TMP00154146,开关00128,1720,0
TMP00035490,配变1771,1703,2
TMP00026803,馈线段XX,1702,2
TMP00029272,馈线段XX,1702,2
TMP00192787,开关00030,1720,0
TMP00005958,开关00002,1705,6
TMP00021638,馈线段XX,1702,4
TMP00225621,开关00264,1720,0
TMP00011517,开关00037,1705,2
TMP00013198,开关00054,1705,8
TMP00044768,馈线段XX,1702,3
TMP00012863,开关00197,1705,0
TMP00037852,母线XX,1710,2
TMP00042389,刀闸0028,1708,2
TMP00045656,馈线段XX,1702,2
TMP00029875,馈线段XX,1702,2
TMP00146234,开关00309,1720,0
TMP00044569,母线XX,1710,2
TMP00006305,开关00024,1705,6
TMP00041845,刀闸0013,1708,1
TMP00005143,开关00004,1705,7
TMP00027125,馈线段XX,1702,4
TMP00212082,开关00066,1720,0
TMP00007676,开关00013,1705,6
TMP00225544,开关00241,1720,0
TMP00318938,开关00125,1720,0
TMP00031580,馈线段XX,1702,4
TMP00042491,刀闸0005,1708,2
TMP00031455,馈线段XX,1702,2
TMP00032016,馈线段XX,1702,2
TMP00011620,开关00124,1705,0
TMP00032577,用户0364,1719,1
TMP00037267,母线XX,1710,6
TMP00319435,开关00074,1720,0
TMP00010596,开关00039,1705,3
TMP00020179,馈线段XX,1702,3
TMP00141068,开关00300,1720,0
TMP00022897,馈线段XX,1702,3
TMP00029167,馈线段XX,1702,3
TMP00176609,开关00230,1720,0
TMP00023710,馈线段XX,1702,2
TMP00246204,开关00176,1720,0
TMP00030307,馈线段XX,1702,2
TMP00227497,开关00209,1720,0
TMP00029111,馈线段XX,1702,2
TMP00005442,开关00077,1705,8
TMP00006040,开关00011,1705,7
TMP00033825,配变0106,1703,1
TMP00017581,馈线段XX,1702,1
TMP00299106,开关00340,1720,0
TMP00008124,开关00055,1705,6
TMP00138916,开关00306,1720,0
TMP00028253,馈线段XX,1702,2
TMP00025515,馈线段XX,1702,2
TMP00283714,开关00169,1720,0
TMP00156615,开关00144,1720,0
TMP00040978,刀闸0013,1708,1
TMP00009742,开关00042,1705,8
TMP00011662,开关00094,1705,8
TMP00023165,馈线段XX,1702,2
TMP00026789,馈线段XX,1702,2
TMP00031215,馈线段XX,1702,4
TMP00021465,馈线段XX,1702,2
TMP00032186,馈线段XX,1702,2
TMP00025519,馈线段XX,1702,2
TMP00036325,母线XX,1710,5
TMP00031511,馈线段XX,1702,2
TMP00289390,开关00062,1720,0
TMP00037315,母线XX,1710,0
TMP00035072,配变1353,1703,0
TMP00004784,开关00025,1705,5
TMP00020061,馈线段XX,1702,3
TMP00012834,开关00130,1705,8
TMP00139547,开关00413,1720,0
TMP00007969,开关00051,1705,8
TMP00020707,馈线段XX,1702,2
TMP00021800,馈线段XX,1702,3
TMP00024165,馈线段XX,1702,3
TMP00009212,开关00003,1705,5
TMP00027073,馈线段XX,1702,2
TMP00006133,开关00019,1705,5
TMP00137155,开关00180,1720,0
TMP00019667,馈线段XX,1702,2
TMP00019930,馈线段XX,1702,2
TMP00015571,开关00137,1705,6
TMP00043982,开关00068,1706,7
TMP00013388,开关00067,1705,8
TMP00036658,母线XX,1710,2
TMP00007777,开关00032,1705,5
TMP00044763,馈线段XX,1702,4
TMP00045539,馈线段XX,1702,2
TMP00021167,馈线段XX,1702,3
TMP00267762,开关00158,1720,0
TMP00271730,开关00517,1720,0
TMP00007981,开关00063,1705,12
TMP00008860,开关00043,1705,8
TMP00030065,馈线段XX,1702,2
TMP00012485,开关00129,1705,5
TMP00016644,馈线段XX,1702,2
TMP00029492,馈线段XX,1702,2
TMP00022506,馈线段XX,1702,3
TMP00036052,母线XX,1710,2
TMP00019376,馈线段XX,1702,3
TMP00031175,馈线段XX,1702,3
TMP00046599,避雷器040,1328,2
TMP00022708,馈线段XX,1702,2
TMP00037377,母线XX,1710,7
TMP00173458,开关00066,1720,0
TMP00304346,开关00424,1720,0
TMP00021270,馈线段XX,1702,2
TMP00318618,开关00388,1720,0
TMP00028188,馈线段XX,1702,2
TMP00028019,馈线段XX,1702,2
TMP00025175,馈线段XX,1702,2
TMP00009749,开关00049,1705,7
TMP00246138,开关00133,1720,0
TMP00017778,馈线段XX,1702,2
TMP00008119,开关00050,1705,6
TMP00273789,开关00129,1720,0
TMP00046104,馈线段XX,1702,3
TMP00027760,馈线段XX,1702,2
TMP00130961,开关00184,1720,0
TMP00016890,馈线段XX,1702,2
TMP00043667,馈线段XX,1702,3
TMP00270294,开关00043,1720,0
TMP00034149,配变0430,1703,1
TMP00009136,开关00016,1705,6
TMP00004441,开关00017,1705,6
TMP00014333,开关00003,1705,8
TMP00041959,刀闸0029,1708,1
TMP00008200,开关00095,1705,12
TMP00026643,馈线段XX,1702,2
TMP00300559,开关00089,1720,0
TMP00014595,开关00023,1705,2
TMP00040700,刀闸0003,1708,1
TMP00024915,馈线段XX,1702,2
TMP00252847,开关00064,1720,0
TMP00036908,母线XX,1710,6
TMP00008966,开关00159,1705,7
TMP00028982,馈线段XX,1702,3
TMP00027205,馈线段XX,1702,3
TMP00009516,开关00006,1705,5
TMP00028141,馈线段XX,1702,2
TMP00033152,用户0939,1719,1
TMP00020322,馈线段XX,1702,2
TMP00023186,馈线段XX,1702,2
TMP00033723,配变0004,1703,1
TMP00026041,馈线段XX,1702,4
TMP00024352,馈线段XX,1702,2
TMP00014371,开关00055,1705,9
TMP00264971,开关00041,1720,0
TMP00006259,开关00113,1705,6
TMP00010524,开关00187,1705,6
TMP00020332,馈线段XX,1702,2
TMP00009325,开关00165,1705,8
TMP00023609,馈线段XX,1702,2
TMP00033892,配变0173,1703,1
TMP00004494,开关00001,1705,2
TMP00024333,馈线段XX,1702,2
TMP00042195,刀闸0016,1708,3
TMP00301360,开关00137,1720,0
TMP00242311,开关00200,1720,0
TMP00036424,母线XX,1710,2
TMP00011736,开关00009,1705,8
TMP00046256,馈线段XX,1702,3
TMP00028034,馈线段XX,1702,2
TMP00034908,配变1189,1703,1
TMP00003822,开关00004,1705,10
TMP00170300,开关00288,1720,0
TMP00024472,馈线段XX,1702,4
TMP00158308,开关00094,1720,0
TMP00018734,馈线段XX,1702,2
TMP00034097,配变0378,1703,1
TMP00027006,馈线段XX,1702,4
TMP00046229,馈线段XX,1702,3
TMP00005759,开关00049,1705,6
TMP00037762,母线XX,1710,7
TMP00038662,母线XX,1710,6
TMP00022028,馈线段XX,1702,2
TMP00006348,开关00027,1705,2
TMP00015782,开关00217,1705,11
TMP00035046,配变1327,1703,1
TMP00027652,馈线段XX,1702,4
TMP00298669,开关00273,1720,0
TMP00244067,开关00096,1720,0
TMP00043413,刀闸0042,1708,1
TMP00031972,馈线段XX,1702,4
TMP00007492,开关00067,1705,9
TMP00008114,开关00045,1705,5
TMP00006097,开关00013,1705,5
TMP00026170,馈线段XX,1702,3
TMP00015937,馈线段XX,1702,3
TMP00233543,开关00086,1720,0
TMP00261800,开关00058,1720,0
TMP00035659,配变1940,1703,1
TMP00030604,馈线段XX,1702,3
TMP00043139,刀闸0006,1708,8
TMP00280045,开关00128,1720,0
TMP00007531,开关00036,1705,7
TMP00011341,开关00049,1705,2
TMP00025404,馈线段XX,1702,1
TMP00035043,配变1324,1703,1
TMP00007235,开关00137,1705,8
TMP00146353,开关00342,1720,0
TMP00018085,馈线段XX,1702,2
TMP00021863,馈线段XX,1702,4
TMP00045977,开关00143,1706,2
TMP00022399,馈线段XX,1702,2
TMP00261809,开关00061,1720,0
TMP00010288,开关00027,1705,3
TMP00185878,开关00246,1720,0
TMP00024680,馈线段XX,1702,1
TMP00025621,馈线段XX,1702,2
TMP00273908,开关00139,1720,0
TMP00017467,馈线段XX,1702,2
TMP00033727,配变0008,1703,1
TMP00014667,开关00043,1705,7
TMP00236750,开关00114,1720,0
TMP00045421,馈线段XX,1702,2
TMP00012430,开关00013,1705,0
TMP00015138,开关00266,1705,11
TMP00302470,开关00069,1720,0
TMP00012991,开关00029,1705,8
TMP00024409,馈线段XX,1702,4
TMP00014283,开关00074,1705,6
TMP00017610,馈线段XX,1702,3
TMP00025611,馈线段XX,1702,2
TMP00023310,馈线段XX,1702,2
TMP00032085,馈线段XX,1702,2
TMP00033176,用户0963,1719,1
TMP00138729,开关00260,1720,0
TMP00015130,开关00008,1705,1
TMP00046581,避雷器022,1328,2
TMP00038513,母线XX,1710,5
TMP00146123,开关00286,1720,0
TMP00237277,开关00162,1720,0
TMP00228208,开关00309,1720,0
TMP00017863,馈线段XX,1702,2
TMP00245979,开关00143,1720,0
TMP00039846,刀闸0003,1708,3
TMP00030309,馈线段XX,1702,2
TMP00032185,馈线段XX,1702,3
TMP00014576,开关00083,1705,8
TMP00039802,刀闸0003,1708,2
TMP00034166,配变0447,1703,1
TMP00038129,母线XX,1710,6
TMP00039840,刀闸0008,1708,0
TMP00037250,母线XX,1710,2
TMP00040820,刀闸0006,1708,2
TMP00010240,开关00030,1705,8
TMP00013395,开关00034,1705,7
TMP00283627,开关00150,1720,0
TMP00029474,馈线段XX,1702,2
TMP00030869,馈线段XX,1702,2
TMP00018797,馈线段XX,1702,2
TMP00029276,馈线段XX,1702,2
TMP00023410,馈线段XX,1702,2
TMP00013859,开关00071,1705,2
TMP00033613,用户1400,1719,1
TMP00036257,母线XX,1710,4
TMP00024551,馈线段XX,1702,2
TMP00026838,馈线段XX,1702,2
TMP00028886,馈线段XX,1702,3
TMP00022771,馈线段XX,1702,2
TMP00036706,母线XX,1710,0
TMP00030040,馈线段XX,1702,2
TMP00010523,开关00186,1705,6
TMP00017094,馈线段XX,1702,2
TMP00034766,配变1047,1703,1
TMP00018815,馈线段XX,1702,4
TMP00041325,刀闸0015,1708,8
TMP00044355,刀闸0119,1707,3
TMP00018948,馈线段XX,1702,4
TMP00023859,馈线段XX,1702,2
TMP00040569,刀闸0014,1708,3
TMP00038281,母线XX,1710,5
TMP00040723,刀闸0007,1708,2
TMP00043590,馈线段XX,1702,5
TMP00044154,开关00190,1706,4
TMP00240595,开关00449,1720,0
TMP00031304,馈线段XX,1702,2
TMP00139087,开关00306,1720,0
TMP00247694,开关00148,1720,0
TMP00039701,刀闸0002,1708,7
TMP00031381,馈线段XX,1702,3
TMP00014549,开关00025,1705,9
TMP00025307,馈线段XX,1702,2
TMP00027529,馈线段XX,1702,2
TMP00018003,馈线段XX,1702,2
TMP00172627,开关00419,1720,0
TMP00240515,开关00435,1720,0
TMP00045997,开关00163,1706,3
TMP00041150,刀闸0003,1708,8
TMP00025688,馈线段XX,1702,2
TMP00304109,开关00371,1720,0
TMP00025637,馈线段XX,1702,2
TMP00035901,母线XX,1710,4
TMP00009703,开关00024,1705,0
TMP00034308,配变0589,1703,1
TMP00028903,馈线段XX,1702,2
TMP00021237,馈线段XX,1702,2
TMP00034816,配变1097,1703,1
TMP00018357,馈线段XX,1702,3
TMP00247686,开关00146,1720,0
TMP00004970,开关00126,1705,8
TMP00007281,开关00183,1705,8
TMP00006736,开关00028,1705,4
TMP00017887,馈线段XX,1702,2
TMP00042862,刀闸0021,1708,1
TMP00011807,开关00035,1705,8
TMP00305729,开关00036,1720,0
TMP00032531,用户0318,1719,1
TMP00018989,馈线段XX,1702,2
TMP00263943,开关00258,1720,0
TMP00013991,开关00028,1705,8
TMP00011172,开关00041,1705,8
TMP00024139,馈线段XX,1702,2
TMP00041878,刀闸0018,1708,1
TMP00029784,馈线段XX,1702,2
TMP00034264,配变0545,1703,1
TMP00005483,开关00060,1705,9
TMP00012945,开关00158,1705,7
TMP00035781,配变2062,1703,1
TMP00046542,配变2319,1703,1
TMP00030076,馈线段XX,1702,2
TMP00021224,馈线段XX,1702,2
TMP00046145,馈线段XX,1702,3
TMP00029760,馈线段XX,1702,2
TMP00004470,开关00006,1705,6
TMP00038594,母线XX,1710,2
TMP00318850,开关00096,1720,0
TMP00009843,开关00024,1705,6
TMP00031624,馈线段XX,1702,3
TMP00031551,馈线段XX,1702,4
TMP00042387,刀闸0026,1708,2
TMP00018695,馈线段XX,1702,1
TMP00027867,馈线段XX,1702,3
TMP00020154,馈线段XX,1702,2
TMP00014410,开关00021,1705,6
TMP00038997,母线XX,1710,2
TMP00008637,开关00120,1705,8
TMP00043965,开关00041,1705,3
TMP00022879,馈线段XX,1702,2
TMP00037028,母线XX,1710,2
TMP00021238,馈线段XX,1702,2
TMP00012096,开关00023,1705,8
TMP00301410,开关00143,1720,0
TMP00236083,开关00048,1720,0
TMP00152572,开关00279,1720,0
TMP00021924,馈线段XX,1702,2
TMP00037849,母线XX,1710,2
TMP00011952,开关00034,1705,2
TMP00029145,馈线段XX,1702,2
TMP00037584,母线XX,1710,2
TMP00023272,馈线段XX,1702,2
TMP00044960,馈线段XX,1702,3
TMP00044087,开关00147,1706,4
TMP00033920,配变0201,1703,1
